Echo 1
0.194769 2.70854 -0.465901 
0.228645 2.28998 -0.432123 
0.280497 2.20495 -0.290364 
0.349694 2.30207 -0.42 
0.60208 2.24183 -0.54909 
0.227946 2.83015 -0.31665 
0.234966 2.42517 -0.26085 
0.271438 2.44085 -0.606795 
0.165322 2.00071 -0.666581 
0.326502 1.80345 -0.610328 
0 1.86275 -0.666048 
0.793403 2.21097 -0.747741 
0.556323 1.80712 -0.592497 
0.521241 1.98288 -0.743414 
0.771254 1.75833 -0.88117 
0.469034 2.2027 -0.46668 
-0.296706 1.96199 -0.555467 
-0.298761 1.81133 -0.578794 
-0.450027 1.75406 -0.620562 
-0.623796 2.33806 -0.684248 
0 2.11852 -0.520392 
-0.17164 1.80815 -0.752741 
-0.215552 2.11894 -0.539484 
-0.317674 2.53607 -0.164261 
-0.539037 2.50801 -0.383396 
-0.312012 2.46811 -0.320599 
-0.390661 2.3743 -0.375854 
-0.486679 2.60706 -0.509263 
-0.18032 2.38097 -0.192595 
-0.249601 2.58818 -0.408156 
-0.532552 2.24761 -0.287336 
-0.703186 2.12392 -0.2006 
-0.727413 2.15758 -0.480559 
-0.584267 1.67431 -0.0151462 
-0.52595 1.97268 -0.523156 
-0.60323 2.27008 -0.690067 
-0.662972 2.01397 -0.491321 
-0.55989 1.73624 -0.623639 
-0.461173 2.3121 -0.589413 
-0.52119 1.76547 0.249989 
-0.63293 2.19065 0.407103 
-0.639505 1.80768 0.464259 
-0.55609 1.8195 0.536654 
-0.564722 2.31154 -0.0154116 
-0.616649 2.1395 0.182206 
-0.517142 2.32712 0.253784 
0.341037 2.66762 0.13359 
0.376874 2.09573 0.182609 
0.308275 2.40281 0.270031 
0.338202 2.24555 0.348622 
0.700228 2.08151 0.838793 
0.252884 2.90661 0.220348 
0.232284 2.2925 0.216209 
0.620924 2.22594 0.25167 
0.649547 2.00073 0.157698 
0.597959 2.06391 0.376331 
0.566108 1.87884 -0.0172646 
0.646445 2.34215 0.588551 
0.551648 2.02001 0.58177 
0.777658 1.71039 0.556851 
0.619242 1.79617 0.596693 
0.546854 2.17865 0.447503 
0.684332 2.13116 -0.317345 
0.76176 1.95686 -0.316917 
0.585158 1.69254 -0.447607 
0.568901 1.99899 -0.662613 
0.509001 2.05064 -0.0162153 
0.572271 1.67732 -0.162288 
1.02344 2.04973 -0.435116 
-0.140933 2.33665 0.286961 
-0.502641 2.03418 0.856769 
-0.279471 2.20461 0.265917 
-0.351518 2.38269 0.319177 
-0.376729 2.02883 0.362377 
-0.199365 2.71148 0.204265 
-0.277146 2.62171 0.243274 
-0.304307 2.17399 0.524322 
-0.205864 1.72682 0.695295 
-0.322002 2.00627 0.599787 
0 2.17862 0.896869 
-0.659303 2.24618 0.639462 
-0.604596 2.28792 0.573378 
-0.47948 1.80879 0.621186 
-0.696591 2.03494 0.688112 
-0.439122 2.00678 0.406684 
0.261171 1.89953 0.51037 
0.361895 2.06162 0.640749 
0.610847 2.14693 0.792693 
0.556882 1.82371 0.518661 
0 2.29144 0.775376 
0.15913 1.80254 0.603716 
0.220282 2.27299 0.445087 
0.216944 2.25314 -0.488074 
0.31112 2.10448 -0.534 
0.402027 1.99599 -0.384 
0.40973 1.98548 -0.481542 
0.558509 1.82337 -0.505496 
0.254069 2.02251 -0.274089 
0.31463 1.87719 -0.309932 
0.329871 1.66583 -0.683189 
0.21333 1.58425 -0.934748 
0.434595 1.58783 -0.911253 
0 1.81555 -0.937012 
0.577882 1.41647 -0.576987 
0.656651 1.3641 -0.785258 
0.580841 1.37154 -0.776878 
0.876022 1.57684 -0.975646 
0.55795 1.79899 -0.667999 
-0.338259 1.80152 -0.736628 
-0.40094 1.36203 -0.76582 
-0.542462 1.34126 -0.712901 
-1.01548 1.77635 -0.777465 
0 1.62805 -0.578405 
-0.212713 1.70226 -0.999746 
-0.282049 1.74941 -0.623173 
-0.35794 2.13417 -0.242436 
-0.515089 1.90725 -0.277352 
-0.423619 2.1149 -0.462365 
-0.487021 2.03551 -0.513755 
-0.559868 2.0896 -0.584739 
-0.255808 1.94985 -0.283511 
-0.329244 1.93989 -0.32984 
-0.688366 1.9248 -0.613734 
-0.704053 1.32816 -0.190764 
-0.876693 1.59341 -0.470572 
-0.835336 1.63522 -0.0237974 
-0.550137 1.42018 -0.590791 
-0.710008 1.49751 -0.725702 
-0.710383 1.45186 -0.634082 
-0.998165 1.49373 -0.949558 
-0.780246 1.71099 -0.862015 
-0.616359 1.34698 0.29696 
-0.816158 1.63722 0.381776 
-0.741622 1.65221 0.886696 
-0.868825 1.65723 0.850023 
-0.579852 1.55884 -0.0173898 
-0.674519 1.53391 0.208078 
-0.516247 1.57054 0.233634 
0.450635 2.25781 0.206709 
0.51102 1.76575 0.26732 
0.368438 1.93004 0.374872 
0.416244 1.65113 0.386512 
0.640244 1.99887 0.530167 
0.3532 2.33048 0.333701 
0.315729 2.0671 0.359344 
0.668058 1.87552 0.331088 
0.843052 1.47175 0.209334 
0.906191 1.59563 0.344306 
1.0515 1.73927 -0.0151692 
0.691064 1.64177 0.635311 
0.664774 1.45495 0.662132 
0.687355 1.27986 0.501838 
0.789034 1.38486 0.777428 
0.748981 1.70852 0.621335 
0.747806 1.65206 -0.360119 
0.81161 1.5465 -0.476297 
0.758228 1.80022 -0.643579 
0.645633 1.32147 -0.638513 
0.631174 1.6141 -0.0166084 
0.766457 1.26448 -0.207812 
0.571169 1.82963 -0.298643 
-0.268992 2.18691 0.411998 
-0.22721 1.64275 0.467281 
-0.35632 2.00212 0.358925 
-0.587794 2.15637 0.428206 
-0.452826 1.70557 0.48866 
-0.250733 1.95784 0.222987 
-0.317273 2.08088 0.273575 
-0.375407 1.93444 0.676677 
-0.262343 1.4813 0.90887 
-0.394011 1.78563 0.77828 
0 1.4586 0.723713 
-0.598243 1.48866 0.674254 
-0.613801 1.34757 0.596114 
-0.526532 1.26692 0.68256 
-0.864859 1.65513 0.829025 
-0.782373 1.67688 0.752739 
0.36191 1.87725 0.880848 
0.332077 1.38816 0.719806 
0.687492 1.59295 0.854273 
0.850373 1.83769 0.854865 
0 1.80281 0.682725 
0.175171 1.62673 0.838934 
0.348574 1.65004 0.603482 
0.238072 1.96489 -0.5388 
0.275667 1.2757 -0.544647 
0.683744 1.62443 -0.727959 
0.46367 1.42794 -0.481128 
0.676628 1.28337 -0.687784 
0.281716 1.54535 -0.298707 
0.447433 1.76116 -0.464774 
0.346433 1.12397 -0.781652 
0.241842 1.38213 -1.10649 
0.399591 0.90686 -0.858061 
0 0.976099 -0.97802 
0.691773 1.0686 -0.727443 
0.70847 1.01104 -0.870628 
0.701593 1.04789 -0.997178 
0.949373 1.04563 -1.02798 
0.960751 1.2428 -0.908205 
-0.511552 1.29964 -1.01326 
-0.452712 0.988418 -0.952683 
-0.709287 1.10131 -0.914465 
-0.822839 1.17593 -0.830935 
0 1.13409 -0.772911 
-0.286501 1.27262 -1.23919 
-0.311381 1.08188 -0.647346 
-0.519085 1.89733 -0.257592 
-0.637431 1.28569 -0.341143 
-0.52742 1.66305 -0.545764 
-0.633113 1.71133 -0.606411 
-0.710812 1.60185 -0.719899 
-0.362879 2.13519 -0.37363 
-0.478468 1.87351 -0.53593 
-0.983 1.38002 -0.607895 
-1.0696 1.04176 -0.288221 
-1.13373 1.2403 -0.568253 
-0.788208 0.938148 -0.0162672 
-0.811036 1.3386 -0.999312 
-0.968876 1.1722 -0.964419 
-1.21854 0.966768 -1.05499 
-0.790726 1.25267 -1.064 
-0.6317 1.41725 -0.760994 
-0.846745 1.00122 0.405459 
-0.96763 1.14453 0.411867 
-0.856812 0.929795 0.564233 
-0.988036 0.963803 0.822886 
-0.875976 1.29572 -0.0225181 
-0.819391 0.827671 0.17878 
-0.619405 1.18235 0.303211 
0.503326 1.83125 0.238675 
0.842187 1.70742 0.383379 
0.48234 1.80892 0.551684 
0.738356 1.62571 0.65209 
0.663807 1.65115 0.783683 
0.423816 1.91748 0.318705 
0.405449 1.85429 0.371703 
0.828521 1.1356 0.393862 
1.20785 1.19399 0.258708 
1.01011 1.22874 0.707953 
0.786173 0.86811 -0.015424 
0.888068 1.5931 0.639955 
0.768678 0.97484 0.755574 
0.851243 1.24414 0.877333 
1.03659 1.12182 0.94309 
0.634808 1.16356 0.619027 
0.823005 1.53092 -0.506969 
1.16123 1.32249 -0.519386 
0.803037 0.881443 -0.606721 
1.01166 1.19375 -1.21355 
1.03297 1.01348 -0.0206185 
0.886991 0.956048 -0.23639 
0.961129 1.58115 -0.456552 
-0.230461 1.84268 0.426007 
-0.262487 1.27404 0.530922 
-0.449849 1.43015 0.529658 
-0.557145 1.55675 0.64253 
-0.726938 1.61299 0.639486 
-0.275297 1.67831 0.286544 
-0.359953 1.51974 0.360698 
-0.335756 1.11272 0.848667 
-0.239596 1.0607 0.812472 
-0.547181 1.0895 1.07306 
0 1.02561 0.89625 
-1.13567 1.40327 0.727587 
-1.07102 1.25394 0.793424 
-0.595704 0.858206 0.807857 
-1.12548 1.06311 0.868654 
-0.713801 1.17073 0.651352 
0.409715 0.986651 0.751948 
0.554562 1.0818 0.814217 
0.83225 1.31446 0.988064 
0.824553 1.02196 0.761546 
0 1.46616 0.832012 
0.223146 1.00585 0.917354 
0.342455 1.66402 0.837798 
0.692756 1.22177 0.564499 
-0.186981 2.14353 0.304356 
0.779072 1.29853 -1.17713 
0.289463 1.61188 0.135746 
-0.685809 1.37439 0.576458 
-0.318287 1.67402 -0.170772 
-0.659859 1.22969 -0.653178 
0.221963 2.06734 -0.37733 
0.505422 1.69653 0.546318 
-0.146091 2.08358 0.277233 
